No,date,Fa1,Fa2,Fa3,Fa5,Fa6,Fa7,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,FF,FF_pred
38026.0,20250325.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.198,6.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,1.4,7.0,0.5,0.0,0.0,0.0,0.0,5000.0,33.0,11.0,100.0,100.0,7.0,78.4628,79.36343
38162.0,20250326.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.18,6.0,0.12,3.0,0.03,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,14.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,30.0,6.0,120.0,100.0,5.0,83.722,83.39692
8560.0,20241120.0,0.15,0.15,0.7,2.85,0.15,1.3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,30.0,12.0,160.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.449,77.941574
41070.0,20250415.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,1.0,0.25,10.0,0.198,5.0,0.066,6.0,0.066,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,1.0,5.0,0.5,0.0,0.0,0.0,0.0,5100.0,31.0,7.0,130.0,100.0,5.0,83.3263,82.515335
35366.0,20250228.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.8,0.0,0.0,10.0,0.165,6.0,0.165,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,10.0,4900.0,35.0,8.0,180.0,110.0,25.0,9.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,31.0,10.0,110.0,110.0,2.0,78.2954,76.3127
38379.0,20250327.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.198,6.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,1.0,11.0,4.5,0.0,0.0,0.0,0.0,4100.0,30.0,12.0,100.0,100.0,4.0,75.7927,78.0614
24566.0,20241231.0,0.05,0.16,0.79,2.9,0.1,1.73,6.0,0.7,2.0,7.0,0.0,0.0,9.0,0.198,9.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,30.0,6.0,160.0,110.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.7732,69.687355
20966.0,20241220.0,0.1,0.0,0.9,2.8,0.2,1.5,1.0,2.0,6.0,0.5,0.0,0.0,10.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,10.0,5000.0,30.0,8.0,200.0,110.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.057,70.29782
36139.0,20250313.0,0.08,0.1,0.82,3.0,0.0,1.65,2.0,10.0,5.0,0.5,0.0,0.0,10.0,0.2475,1.0,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,1054.0,5.0,5197.0,25.0,7.0,213.0,100.0,22.0,9.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,25.0,8.0,100.0,100.0,5.0,78.4705,77.13767
37363.0,20250321.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.165,6.0,0.055,2.0,0.11,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,30.0,12.0,100.0,100.0,4.0,82.8966,81.06611
