No,date,Fa1,Fa2,Fa3,Fa5,Fa6,Fa7,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,Voc,Voc_pred
39750,20250403,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,5,0.517,0,0.0,10,0.198,6,0.066,6,0.066,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,9,1.0,5,0.5,0,0.0,0,0.0,5000.0,32.0,10.0,130.0,100.0,5.0,1.13099,1.1354963
25470,20250104,0.05,0.16,0.79,2.9,0.1,1.73,2,7.0,5,0.8,0,0.0,10,0.198,10,0.132,0,0.0,0.0,0.0,0.0,0.0,1000,12,4500,40,5.0,230,105,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0772,1.0738122
8134,20241119,0.05,0.2,0.75,2.8,0.2,1.4,0,0.0,0,0.0,0,0.0,10,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1200,10,5000,30,8.0,200,110,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0448,1.0489478
26025,20250106,0.05,0.16,0.79,2.9,0.1,1.73,2,7.0,6,0.7,0,0.0,14,0.165,6,0.165,0,0.0,0.0,0.0,0.0,0.0,1200,12,5800,25,10.0,210,115,15,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10416,1.1004403
3948,20240927,0.06,0.14,0.8,2.7,0.3,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,25,15.0,120,115,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0111,1.0176225
26180,20250106,0.05,0.16,0.79,2.9,0.1,1.73,2,7.0,6,0.7,0,0.0,9,0.165,6,0.165,0,0.0,0.0,0.0,0.0,0.0,1800,10,6000,30,5.0,260,110,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08412,1.0916638
25875,20250106,0.05,0.16,0.79,2.9,0.1,1.73,2,7.0,6,0.7,0,0.0,9,0.0825,11,0.2475,0,0.0,0.0,0.0,0.0,0.0,1600,10,5200,25,9.0,240,110,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10733,1.1009519
41106,20250415,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,5,0.517,1,0.75,10,0.198,5,0.066,6,0.066,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,9,1.0,5,0.5,0,0.0,0,0.0,5000.0,30.0,8.0,130.0,100.0,5.0,1.1423,1.137641
34014,20250118,0.05,0.16,0.79,2.9,0.1,1.73,2,7.0,6,0.7,0,0.0,14,0.0825,6,0.2475,0,0.0,0.0,0.0,0.0,0.0,1000,15,5000,30,6.0,160,110,30,9,0.625,0,0.0,0,0.0,0,0.0,4500.0,30.0,12.0,100.0,100.0,10.0,1.103,1.104995
36197,20250313,0.05,0.15,0.8,3.0,0.0,1.53,2,14.6,5,0.517,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1133,11,4085,38,10.0,150,105,22,9,1.4,0,0.0,0,0.0,0,0.0,4000.0,30.0,10.0,100.0,100.0,5.0,1.06506,1.0808471
