differing_column,row1_index,row2_index,condition_case
Formula SAM 1,10696,524,row2
Formula SAM 1,10364,524,row2
Formula SAM 1,12507,524,row2
Formula SAM 1,524,7702,row1
Formula SAM 1,524,8335,row1
Formula SAM 1,10920,524,row2
Formula SAM 1,10920,12507,row2
Formula SAM 1,10920,8335,row2
Formula SAM 1,14295,18209,row1
Formula SAM 1,14105,18209,row1
Formula SAM 1,14105,14295,row2
Formula SAM 1,16610,16879,row2
Formula SAM 1,14852,15330,row2
Formula SAM 1,15140,15330,row1
Formula SAM 1,14852,15140,row2
Formula SAM 1,9339,9996,row2
Formula SAM 1,13542,6669,row2
Formula SAM 1,6669,8722,row1
Formula SAM 1,13542,8722,row2
Formula SAM 1,30297,36556,row1
Formula SAM 1,30952,31944,row1
Formula SAM 1,29302,30952,row2
Formula SAM 1,31944,34255,row2
Formula SAM 1,29302,34255,row2
Formula SAM 1,29302,35243,row2
Formula SAM 1,28312,31944,row2
Formula SAM 1,38188,38774,row1
Formula SAM 1,38774,40232,row2
Formula SAM 1,38774,41042,row2
Formula SAM 1,38774,41285,row2
Formula SAM 1,38774,42095,row2
Formula SAM 1,19729,23694,row1
Formula SAM 1,12304,9103,row1
Formula SAM 1,8122,9103,row1
Formula SAM 1,12028,13640,row1
Formula SAM 1,10575,9494,row1
Formula SAM 1,7904,8548,row2
Formula SAM 1,11112,7904,row1
Formula SAM 1,8548,9494,row1
Formula SAM 1,11112,8548,row2
Formula SAM 1,6410,9850,row1
Formula SAM 1,7181,9850,row1
Formula SAM 1,13044,6410,row2
Formula SAM 1,13044,7181,row2
Formula SAM 1,11806,6410,row2
Formula SAM 1,11602,6410,row2
Formula SAM 1,11806,7181,row2
Formula SAM 1,11602,7181,row2
Formula SAM 1,11806,9850,row2
Formula SAM 1,11602,9850,row2
Formula SAM 1,11806,13044,row2
Formula SAM 1,11602,13044,row2
Formula SAM 1,21130,21632,row2
Formula SAM 1,26993,33927,row2
Formula SAM 1,21385,30624,row1
Formula SAM 1,21385,27984,row1
Formula SAM 2,22372,26664,row1
Formula SAM 2,19404,35243,row1
Formula SAM 2,19903,35243,row1
Formula SAM 2,19404,36232,row1
Formula SAM 2,19903,36232,row1
Formula SAM 2,19404,31636,row1
Formula SAM 2,19903,31636,row1
Formula SAM 2,19404,35576,row1
Formula SAM 2,19903,35576,row1
Formula SAM 2,19404,28312,row1
Formula SAM 2,19903,28312,row1
Formula SAM 2,23694,30297,row2
Formula SAM 2,23694,28312,row1
Formula SAM 2,37120,39017,row2
Formula SAM 2,37120,39260,row2
Formula SAM 2,38855,39260,row2
Formula SAM 2,37120,39584,row2
Formula SAM 2,37541,39584,row2
Formula SAM 2,38855,39584,row2
Formula SAM 2,39098,39584,row2
Formula SAM 2,39584,39908,row1
Formula SAM 2,39584,39746,row1
Formula SAM 2,37120,41609,row2
Formula SAM 2,37541,41609,row2
Formula SAM 2,38855,41609,row2
Formula SAM 2,39098,41609,row2
Formula SAM 2,39908,41609,row2
Formula SAM 2,39746,41609,row2
Formula SAM 2,37120,41689,row2
Formula SAM 2,37541,41689,row2
Formula SAM 2,38855,41689,row2
Formula SAM 2,39098,41689,row2
Formula SAM 2,39908,41689,row2
Formula SAM 2,37120,42257,row2
Formula SAM 2,37541,42257,row2
Formula SAM 2,38855,42257,row2
Formula SAM 2,39098,42257,row2
Formula SAM 2,39908,42257,row2
Formula SAM 2,39746,42257,row2
Formula SAM 2,38565,38693,row1
Formula SAM 2,38693,39422,row2
Formula SAM 2,38693,42014,row2
Formula SAM 2,40880,42338,row2
Formula SAM 2,41447,42338,row2
Formula SAM 2,29302,34576,row2
Formula SAM 2,21632,34926,row2
Formula SAM 3,30297,38128,row1
Formula SAM 3,33598,38128,row1
Formula SAM 3,30952,38128,row1
Formula SAM 3,34255,38128,row1
Formula SAM 3,25015,38128,row1
Formula SAM 3,35243,38128,row1
Formula SAM 3,36232,38128,row1
Formula SAM 3,31636,38128,row1
Formula SAM 3,35576,38128,row1
Formula SAM 3,28312,38128,row1
Formula SAM 3,30297,36963,row1
Formula SAM 3,30297,37361,row1
Formula SAM 3,30297,37421,row1
Formula SAM 3,30297,37601,row1
Formula SAM 3,33598,36963,row1
Formula SAM 3,33598,37361,row1
Formula SAM 3,33598,37421,row1
Formula SAM 3,33598,37601,row1
Formula SAM 3,30952,36963,row1
Formula SAM 3,30952,37421,row1
Formula SAM 3,30952,37601,row1
Formula SAM 3,34255,36963,row1
Formula SAM 3,34255,37361,row1
Formula SAM 3,34255,37421,row1
Formula SAM 3,34255,37601,row1
Formula SAM 3,25015,36963,row1
Formula SAM 3,25015,37361,row1
Formula SAM 3,25015,37421,row1
Formula SAM 3,25015,37601,row1
Formula SAM 3,35243,36963,row1
Formula SAM 3,35243,37421,row1
Formula SAM 3,35243,37601,row1
Formula SAM 3,36232,36963,row1
Formula SAM 3,36232,37421,row1
Formula SAM 3,36232,37601,row1
Formula SAM 3,31636,36963,row1
Formula SAM 3,31636,37421,row1
Formula SAM 3,31636,37601,row1
Formula SAM 3,35576,36963,row1
Formula SAM 3,35576,37421,row1
Formula SAM 3,28312,36963,row1
Formula SAM 3,28312,37421,row1
Formula SAM 3,28312,37601,row1
Formula SAM 3,30297,38188,row1
Formula SAM 3,30297,39179,row1
Formula SAM 3,30297,39503,row1
Formula SAM 3,30297,40232,row1
Formula SAM 3,30297,41285,row1
Formula SAM 3,30297,41771,row1
Formula SAM 3,30297,42095,row1
Formula SAM 3,30297,39665,row1
Formula SAM 3,30297,40313,row1
Formula SAM 3,30297,40718,row1
Formula SAM 3,30297,41366,row1
Formula SAM 3,30297,39683,row1
Formula SAM 3,30297,40961,row1
Formula SAM 3,33598,38188,row1
Formula SAM 3,33598,39179,row1
Formula SAM 3,33598,39503,row1
Formula SAM 3,33598,40232,row1
Formula SAM 3,33598,41285,row1
Formula SAM 3,33598,41771,row1
Formula SAM 3,33598,42095,row1
Formula SAM 3,33598,39665,row1
Formula SAM 3,33598,40313,row1
Formula SAM 3,33598,40718,row1
Formula SAM 3,33598,41366,row1
Formula SAM 3,33598,39683,row1
Formula SAM 3,33598,40961,row1
Formula SAM 3,30952,38188,row1
Formula SAM 3,30952,39179,row1
Formula SAM 3,30952,39503,row1
Formula SAM 3,30952,40232,row1
Formula SAM 3,30952,41285,row1
Formula SAM 3,30952,41771,row1
Formula SAM 3,30952,42095,row1
Formula SAM 3,30952,39665,row1
Formula SAM 3,30952,40313,row1
Formula SAM 3,30952,40718,row1
Formula SAM 3,30952,41366,row1
Formula SAM 3,30952,39683,row1
Formula SAM 3,30952,40961,row1
Formula SAM 3,34255,38188,row1
Formula SAM 3,34255,39179,row1
Formula SAM 3,34255,39503,row1
Formula SAM 3,34255,40232,row1
Formula SAM 3,34255,41285,row1
Formula SAM 3,34255,41771,row1
Formula SAM 3,34255,42095,row1
Formula SAM 3,34255,39665,row1
Formula SAM 3,34255,40313,row1
Formula SAM 3,34255,40718,row1
Formula SAM 3,34255,41366,row1
Formula SAM 3,34255,39683,row1
Formula SAM 3,34255,40961,row1
Formula SAM 3,25015,38188,row1
Formula SAM 3,25015,39179,row1
Formula SAM 3,25015,39503,row1
Formula SAM 3,25015,40232,row1
Formula SAM 3,25015,41285,row1
Formula SAM 3,25015,41771,row1
Formula SAM 3,25015,42095,row1
Formula SAM 3,25015,39665,row1
Formula SAM 3,25015,40313,row1
Formula SAM 3,25015,40718,row1
Formula SAM 3,25015,41366,row1
Formula SAM 3,25015,39683,row1
Formula SAM 3,25015,40961,row1
Formula SAM 3,35243,38188,row1
Formula SAM 3,35243,39179,row1
Formula SAM 3,35243,39503,row1
Formula SAM 3,35243,41285,row1
Formula SAM 3,35243,41771,row1
Formula SAM 3,35243,42095,row1
Formula SAM 3,35243,39665,row1
Formula SAM 3,35243,40313,row1
Formula SAM 3,35243,40718,row1
Formula SAM 3,35243,41366,row1
Formula SAM 3,35243,39683,row1
Formula SAM 3,35243,40961,row1
Formula SAM 3,36232,38188,row1
Formula SAM 3,36232,39179,row1
Formula SAM 3,36232,39503,row1
Formula SAM 3,36232,41285,row1
Formula SAM 3,36232,41771,row1
Formula SAM 3,36232,42095,row1
Formula SAM 3,36232,39665,row1
Formula SAM 3,36232,40313,row1
Formula SAM 3,36232,40718,row1
Formula SAM 3,36232,41366,row1
Formula SAM 3,36232,39683,row1
Formula SAM 3,36232,40961,row1
Formula SAM 3,31636,38188,row1
Formula SAM 3,31636,39179,row1
Formula SAM 3,31636,39503,row1
Formula SAM 3,31636,41285,row1
Formula SAM 3,31636,41771,row1
Formula SAM 3,31636,42095,row1
Formula SAM 3,31636,39665,row1
Formula SAM 3,31636,40313,row1
Formula SAM 3,31636,40718,row1
Formula SAM 3,31636,41366,row1
Formula SAM 3,31636,39683,row1
Formula SAM 3,31636,40961,row1
Formula SAM 3,35576,38188,row1
Formula SAM 3,35576,41285,row1
Formula SAM 3,35576,42095,row1
Formula SAM 3,35576,39665,row1
Formula SAM 3,35576,40313,row1
Formula SAM 3,35576,40718,row1
Formula SAM 3,35576,41366,row1
Formula SAM 3,35576,39683,row1
Formula SAM 3,35576,40961,row1
