differing_column,row1_index,row2_index
Formula SAM 1,10696,524
Formula SAM 1,10364,524
Formula SAM 1,12507,524
Formula SAM 1,524,7702
Formula SAM 1,524,8335
Formula SAM 1,10920,524
Formula SAM 1,10696,12507
Formula SAM 1,10364,12507
Formula SAM 1,10696,7702
Formula SAM 1,10364,7702
Formula SAM 1,10696,8335
Formula SAM 1,10364,8335
Formula SAM 1,10696,10920
Formula SAM 1,10364,10920
Formula SAM 1,12507,7702
Formula SAM 1,12507,8335
Formula SAM 1,10920,12507
Formula SAM 1,7702,8335
Formula SAM 1,10920,7702
Formula SAM 1,10920,8335
Formula SAM 1,14295,18209
Formula SAM 1,14105,18209
Formula SAM 1,14105,14295
Formula SAM 1,16879,18440
Formula SAM 1,16610,16879
Formula SAM 1,15793,16359
Formula SAM 1,16114,16359
Formula SAM 1,15961,16359
Formula SAM 1,15793,16114
Formula SAM 1,15793,15961
Formula SAM 1,15961,16114
Formula SAM 1,14852,15330
Formula SAM 1,15140,15330
Formula SAM 1,14852,15140
Formula SAM 1,17593,17809
Formula SAM 1,20724,26336
Formula SAM 1,20408,26336
Formula SAM 1,20408,20724
Formula SAM 1,21993,25674
Formula SAM 1,22372,25674
Formula SAM 1,22496,25674
Formula SAM 1,22040,25674
Formula SAM 1,21993,22372
Formula SAM 1,21993,22496
Formula SAM 1,21993,22040
Formula SAM 1,22372,22496
Formula SAM 1,22040,22372
Formula SAM 1,9339,9996
Formula SAM 1,11430,9996
Formula SAM 1,11430,9339
Formula SAM 1,13542,6669
Formula SAM 1,6669,8722
Formula SAM 1,13542,8722
Formula SAM 1,30297,36556
Formula SAM 1,30297,31944
Formula SAM 1,29302,30297
Formula SAM 1,33598,36556
Formula SAM 1,31944,33598
Formula SAM 1,29302,33598
Formula SAM 1,30952,36556
Formula SAM 1,30952,31944
Formula SAM 1,29302,30952
Formula SAM 1,34255,36556
Formula SAM 1,31944,34255
Formula SAM 1,29302,34255
Formula SAM 1,25015,36556
Formula SAM 1,25015,31944
Formula SAM 1,25015,29302
Formula SAM 1,35243,36556
Formula SAM 1,31944,35243
Formula SAM 1,29302,35243
Formula SAM 1,36232,36556
Formula SAM 1,31944,36232
Formula SAM 1,29302,36232
Formula SAM 1,31636,36556
Formula SAM 1,31636,31944
Formula SAM 1,29302,31636
Formula SAM 1,35576,36556
Formula SAM 1,31944,35576
Formula SAM 1,29302,35576
Formula SAM 1,28312,36556
Formula SAM 1,28312,31944
Formula SAM 1,28312,29302
Formula SAM 1,38188,38774
Formula SAM 1,38774,39179
Formula SAM 1,38774,39503
Formula SAM 1,38774,40232
Formula SAM 1,38774,41042
Formula SAM 1,38774,41285
Formula SAM 1,38774,41771
Formula SAM 1,38774,42095
Formula SAM 1,38774,39665
Formula SAM 1,38774,40313
Formula SAM 1,38774,40718
Formula SAM 1,38774,41366
Formula SAM 1,38774,39683
Formula SAM 1,38774,40961
Formula SAM 1,19729,23694
Formula SAM 1,12304,8122
Formula SAM 1,12304,9103
Formula SAM 1,8122,9103
Formula SAM 1,12028,13640
Formula SAM 1,12028,13314
Formula SAM 1,10575,7904
Formula SAM 1,10575,8548
Formula SAM 1,10575,9494
Formula SAM 1,10575,11112
Formula SAM 1,7904,8548
Formula SAM 1,7904,9494
Formula SAM 1,11112,7904
Formula SAM 1,8548,9494
Formula SAM 1,11112,8548
Formula SAM 1,11112,9494
Formula SAM 1,6410,9850
Formula SAM 1,7181,9850
Formula SAM 1,13044,6410
Formula SAM 1,13044,7181
Formula SAM 1,11806,6410
Formula SAM 1,11602,6410
Formula SAM 1,11806,7181
Formula SAM 1,11602,7181
Formula SAM 1,13044,9850
Formula SAM 1,11806,9850
Formula SAM 1,11602,9850
Formula SAM 1,11806,13044
Formula SAM 1,11602,13044
Formula SAM 1,21129,21632
Formula SAM 1,21130,21632
Formula SAM 1,26993,33927
Formula SAM 1,21385,34926
Formula SAM 1,21385,30624
Formula SAM 1,21385,27984
Formula SAM 1,12784,8952
Formula SAM 2,20265,24024
Formula SAM 2,25348,26336
Formula SAM 2,26336,28649
Formula SAM 2,22372,24357
Formula SAM 2,22372,26664
Formula SAM 2,19404,30297
Formula SAM 2,19903,30297
Formula SAM 2,19404,33598
Formula SAM 2,19903,33598
Formula SAM 2,19404,30952
Formula SAM 2,19903,30952
Formula SAM 2,19404,34255
Formula SAM 2,19903,34255
Formula SAM 2,19404,25015
Formula SAM 2,19903,25015
Formula SAM 2,19404,35243
Formula SAM 2,19903,35243
Formula SAM 2,19404,36232
Formula SAM 2,19903,36232
Formula SAM 2,19404,31636
Formula SAM 2,19903,31636
Formula SAM 2,19404,35576
Formula SAM 2,19903,35576
Formula SAM 2,19404,28312
Formula SAM 2,19903,28312
Formula SAM 2,23694,30297
Formula SAM 2,23694,33598
Formula SAM 2,23694,30952
Formula SAM 2,23694,34255
Formula SAM 2,23694,25015
Formula SAM 2,23694,35243
Formula SAM 2,23694,36232
Formula SAM 2,23694,31636
Formula SAM 2,23694,35576
Formula SAM 2,23694,28312
Formula SAM 2,19404,23694
Formula SAM 2,19903,23694
Formula SAM 2,37721,39017
Formula SAM 2,38565,39017
Formula SAM 2,39017,39422
Formula SAM 2,39017,42014
Formula SAM 2,37120,39017
Formula SAM 2,37541,39017
Formula SAM 2,38855,39017
Formula SAM 2,39017,39098
Formula SAM 2,39017,39908
Formula SAM 2,39017,39746
Formula SAM 2,37721,39260
Formula SAM 2,38565,39260
Formula SAM 2,39260,39422
Formula SAM 2,39260,42014
Formula SAM 2,37120,39260
Formula SAM 2,37541,39260
Formula SAM 2,38855,39260
Formula SAM 2,39098,39260
Formula SAM 2,39260,39908
Formula SAM 2,39260,39746
Formula SAM 2,37721,39584
Formula SAM 2,38565,39584
Formula SAM 2,39422,39584
Formula SAM 2,39584,42014
Formula SAM 2,37120,39584
Formula SAM 2,37541,39584
Formula SAM 2,38855,39584
Formula SAM 2,39098,39584
Formula SAM 2,39584,39908
Formula SAM 2,39584,39746
Formula SAM 2,37721,41609
Formula SAM 2,38565,41609
Formula SAM 2,39422,41609
Formula SAM 2,41609,42014
Formula SAM 2,37120,41609
Formula SAM 2,37541,41609
Formula SAM 2,38855,41609
Formula SAM 2,39098,41609
Formula SAM 2,39908,41609
Formula SAM 2,39746,41609
Formula SAM 2,37721,41689
Formula SAM 2,38565,41689
Formula SAM 2,39422,41689
Formula SAM 2,41689,42014
Formula SAM 2,37120,41689
Formula SAM 2,37541,41689
Formula SAM 2,38855,41689
Formula SAM 2,39098,41689
Formula SAM 2,39908,41689
Formula SAM 2,39746,41689
Formula SAM 2,37721,42257
Formula SAM 2,38565,42257
Formula SAM 2,39422,42257
Formula SAM 2,42014,42257
Formula SAM 2,37120,42257
Formula SAM 2,37541,42257
Formula SAM 2,38855,42257
Formula SAM 2,39098,42257
Formula SAM 2,39908,42257
Formula SAM 2,39746,42257
Formula SAM 2,37721,38693
Formula SAM 2,38565,38693
Formula SAM 2,38693,39422
Formula SAM 2,38693,42014
Formula SAM 2,37120,38693
Formula SAM 2,37541,38693
Formula SAM 2,38693,38855
Formula SAM 2,38693,39098
Formula SAM 2,38693,39908
Formula SAM 2,38693,39746
Formula SAM 2,37721,39827
Formula SAM 2,38565,39827
Formula SAM 2,39422,39827
Formula SAM 2,39827,42014
Formula SAM 2,37120,39827
Formula SAM 2,37541,39827
Formula SAM 2,38855,39827
Formula SAM 2,39098,39827
Formula SAM 2,39827,39908
Formula SAM 2,39746,39827
Formula SAM 2,41933,42338
Formula SAM 2,40880,42338
Formula SAM 2,41447,42338
Formula SAM 2,34576,36556
Formula SAM 2,31944,34576
Formula SAM 2,29302,34576
Formula SAM 2,23363,26993
Formula SAM 2,21632,34926
Formula SAM 2,21632,30624
Formula SAM 2,21632,27984
Formula SAM 3,30297,38128
Formula SAM 3,33598,38128
Formula SAM 3,30952,38128
Formula SAM 3,34255,38128
Formula SAM 3,25015,38128
Formula SAM 3,35243,38128
Formula SAM 3,36232,38128
Formula SAM 3,31636,38128
Formula SAM 3,35576,38128
Formula SAM 3,28312,38128
Formula SAM 3,30297,36963
Formula SAM 3,30297,37361
Formula SAM 3,30297,37421
Formula SAM 3,30297,37601
Formula SAM 3,33598,36963
Formula SAM 3,33598,37361
Formula SAM 3,33598,37421
Formula SAM 3,33598,37601
Formula SAM 3,30952,36963
Formula SAM 3,30952,37361
Formula SAM 3,30952,37421
Formula SAM 3,30952,37601
Formula SAM 3,34255,36963
Formula SAM 3,34255,37361
Formula SAM 3,34255,37421
Formula SAM 3,34255,37601
Formula SAM 3,25015,36963
Formula SAM 3,25015,37361
Formula SAM 3,25015,37421
Formula SAM 3,25015,37601
Formula SAM 3,35243,36963
Formula SAM 3,35243,37361
Formula SAM 3,35243,37421
Formula SAM 3,35243,37601
Formula SAM 3,36232,36963
Formula SAM 3,36232,37361
Formula SAM 3,36232,37421
Formula SAM 3,36232,37601
Formula SAM 3,31636,36963
Formula SAM 3,31636,37361
Formula SAM 3,31636,37421
Formula SAM 3,31636,37601
Formula SAM 3,35576,36963
Formula SAM 3,35576,37361
Formula SAM 3,35576,37421
Formula SAM 3,35576,37601
Formula SAM 3,28312,36963
Formula SAM 3,28312,37361
Formula SAM 3,28312,37421
Formula SAM 3,28312,37601
Formula SAM 3,30297,38188
Formula SAM 3,30297,39179
Formula SAM 3,30297,39503
Formula SAM 3,30297,40232
Formula SAM 3,30297,41042
Formula SAM 3,30297,41285
Formula SAM 3,30297,41771
Formula SAM 3,30297,42095
Formula SAM 3,30297,39665
Formula SAM 3,30297,40313
Formula SAM 3,30297,40718
Formula SAM 3,30297,41366
Formula SAM 3,30297,39683
Formula SAM 3,30297,40961
Formula SAM 3,33598,38188
Formula SAM 3,33598,39179
Formula SAM 3,33598,39503
Formula SAM 3,33598,40232
Formula SAM 3,33598,41042
Formula SAM 3,33598,41285
Formula SAM 3,33598,41771
Formula SAM 3,33598,42095
Formula SAM 3,33598,39665
Formula SAM 3,33598,40313
Formula SAM 3,33598,40718
Formula SAM 3,33598,41366
Formula SAM 3,33598,39683
Formula SAM 3,33598,40961
Formula SAM 3,30952,38188
Formula SAM 3,30952,39179
Formula SAM 3,30952,39503
Formula SAM 3,30952,40232
Formula SAM 3,30952,41042
Formula SAM 3,30952,41285
Formula SAM 3,30952,41771
Formula SAM 3,30952,42095
Formula SAM 3,30952,39665
Formula SAM 3,30952,40313
Formula SAM 3,30952,40718
Formula SAM 3,30952,41366
Formula SAM 3,30952,39683
Formula SAM 3,30952,40961
Formula SAM 3,34255,38188
Formula SAM 3,34255,39179
Formula SAM 3,34255,39503
Formula SAM 3,34255,40232
Formula SAM 3,34255,41042
Formula SAM 3,34255,41285
Formula SAM 3,34255,41771
Formula SAM 3,34255,42095
Formula SAM 3,34255,39665
Formula SAM 3,34255,40313
Formula SAM 3,34255,40718
Formula SAM 3,34255,41366
Formula SAM 3,34255,39683
Formula SAM 3,34255,40961
Formula SAM 3,25015,38188
Formula SAM 3,25015,39179
Formula SAM 3,25015,39503
Formula SAM 3,25015,40232
Formula SAM 3,25015,41042
Formula SAM 3,25015,41285
Formula SAM 3,25015,41771
Formula SAM 3,25015,42095
Formula SAM 3,25015,39665
Formula SAM 3,25015,40313
Formula SAM 3,25015,40718
Formula SAM 3,25015,41366
Formula SAM 3,25015,39683
Formula SAM 3,25015,40961
Formula SAM 3,35243,38188
Formula SAM 3,35243,39179
Formula SAM 3,35243,39503
Formula SAM 3,35243,40232
Formula SAM 3,35243,41042
Formula SAM 3,35243,41285
Formula SAM 3,35243,41771
Formula SAM 3,35243,42095
Formula SAM 3,35243,39665
Formula SAM 3,35243,40313
Formula SAM 3,35243,40718
Formula SAM 3,35243,41366
Formula SAM 3,35243,39683
Formula SAM 3,35243,40961
Formula SAM 3,36232,38188
Formula SAM 3,36232,39179
Formula SAM 3,36232,39503
Formula SAM 3,36232,40232
Formula SAM 3,36232,41042
Formula SAM 3,36232,41285
Formula SAM 3,36232,41771
Formula SAM 3,36232,42095
Formula SAM 3,36232,39665
