index,date,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,From,Channel,Product,rank,group,area_px2,mean_RGB,VAR_RGB,gray_mean,gray_contrast,mean_B,mean_G,mean_R,var_B,var_G,var_R,filename_x,folder_date,date.1,defect_bright,defect_dark,defect_crack,defect_total,closest_color_name,Nucleation Onset Time After Spin Coating,Maximum PL Intensity,Time to Peak PL Intensity After Nucleation,max_column_x,10%decay_column,10%decay_value,10%slope,20%decay_column,20%decay_value,20%slope,30%decay_column,30%decay_value,30%slope,file_location,xrd_intensity_12.6,xrd_fhwm_12.6,xrd_intensity_4,xrd_fhwm_4,xrd_intensity_4_filename,xrd_Stress,xrd_Stress_filename_x,xrd_intensity_5.3,xrd_fhwm_5.3,xrd_intensity_5.3_filename,Unnamed: 90,Unnamed: 91,xrd_Stress_filename_y,Unnamed: 93,New,filename_y,max_value,max_column_y,90_decay_column,90_decay_time,90_decay_value,filename_y.1,max_value.1,max_column_y.1,10column,10value,30column,30value,V,src_No,src_filename_y,src_max_value,src_max_column_y,src_90_decay_column,peak_time,src_90_decay_value,src_filename_y.1,src_max_value.1,src_max_column_y.1,src_10column,src_10value,src_30column,src_30value,decay_slope,newid_spread
1023,20240913,Cs0.06MA0.14FA0.8Pb1I3.0,1.9,,,,,,,,,,,,,1000,10,4500,30,10,200,115,25,,,,,,,,,,,,,,,0.06,26.99,0.89,0.25,v0,CH3,256,3,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,0912_1\GP_PL_20240912_65_65.csv,34307,8600,9800,9.8,29973,0912_1\GP_PL_20240912_65_65.csv,34307,8600,20000,6328,13600,10256,4.8102,1023
4857,20241009,Cs0.07MA0.1FA0.83Pb1I2.5Br0.5,1.8,,,,,,,,,,,,,900,10,5000,30,10,100,105,40,,,,,,,,,,,,,,,1.05,26.72,0.26,15.21,v0,CH1,1215,13,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5022,1009_6\GP_PL_20241009_111_111.csv,46708.758,7600,9600,9.6,41864.758,1009_6\GP_PL_20241009_111_111.csv,46708.758,7600,20000,11373.759,13600,12338.759,5.728333167,4857
3821,20240927,Cs0.25MA0.5FA0.25Pb1I2.7Br0.3,1.5,,,,,,,,,,,,,1000,10,5000,40,10,120,115,20,,,,,,,,,,,,,,,11.17,63.18,1.08,16.44,v0,CH1,956,10,185,99.6,45.5837,54.0985,46.966,5.6259,33.8446,42.9055,60.0009,74.7857,41.6288,45.881,expID20240927\Image\ԭͼ\20_-191025_.JPEG,20240927,20240927,5,0,4,9,darkslategray,40,3185.912,31,9000,20000,782.912,0.218454545,20000,782.912,0.218454545,16600,922.912,0.297763158,0927_3\GP_PL_20240927_600_600.csv,,,,,,,,,,,,,,,71,0927_3\GP_PL_20240927_600_600.csv,3185.912,9000,10000,10,2833.912,0927_3\GP_PL_20240927_600_600.csv,3185.912,9000,20000,782.912,16600,922.912,0.297763158,2518,0924_1\GP_PL_20240924_367_367.csv,57177.766,3200,9400,9.4,49132.766,0924_1\GP_PL_20240924_367_367.csv,57177.766,3200,19200,5583.764,12600,16930.764,4.281595957,3821
5878,20241010,Cs0.11MA0.25FA0.64Pb1I2.30Br0.70,1.43,,,,,,,,,,,,,1050,10,5000,25,15,130,100,30,,,,,,,,,,,,,,,6.16,37.45,0.98,16.83,v0,CH2,1470,14,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7496,1024_6\GP_PL_20241024_20_120.csv,15376.85,8400,9400,9.4,13133.85,1024_6\GP_PL_20241024_20_120.csv,15376.85,8400,11800,1532.85,10800,4448.85,4.553333333,5878
2550,20240924,Cs0.01MA0.25FA0.74Pb1I2.83Br0.17,1.46,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.13,95.4,0.01,11.29,v0,CH2,638,7,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1648,0919_3\GP_PL_20240919_299_299.csv,25954,8000,9200,9.2,23217,0919_3\GP_PL_20240919_299_299.csv,25954,8000,20000,5829,11600,7183,5.214166667,2550
7438,20241024,Cs0.1FA0.9Pb1I2.85Br0.15,1.8,,,,,,,,,,,,,1000,10,5000,30,10,150,100,20,,,,,,,,,,,,,,,15.37,76.35,1.02,19.82,v0,CH2,1860,16,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9586,1121_1\GP_PL_20241121_6_29.csv,7231.762,8800,9200,9.2,5330.762,1121_1\GP_PL_20241121_6_29.csv,7231.762,8800,10800,647.762,10000,2052.762,4.315833333,7438
1813,20240920,Cs0.05MA0.16FA0.79Pb1I2.85Br0.15,1.38,,,,,,,,,,,,,1000,10,5000,40,10,120,110,20,,,,,,,,,,,,,,,1.68,436.8,0.03,14.88,v0,CH1,454,6,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,0913_1\GP_PL_20240913_131_131.csv,26456,7600,9000,9,23654,0913_1\GP_PL_20240913_131_131.csv,26456,7600,20000,3769,12000,7784,4.243636364,1813
6410,20241019,Cs0.1FA0.9Pb1I2.8Br0.2,1.65,,,,,,,,,,,,,1000,10,5000,30,10,120,110,30,,,,,,,,,,,,,,,2.86,32.16,0.51,17.39,v0,CH2,1603,15,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8056,1119_2\GP_PL_20241119_13_63.csv,24098.771,7000,8800,8.8,21197.771,1119_2\GP_PL_20241119_13_63.csv,24098.771,7000,20000,5013.772,10800,6943.772,4.514473421,6410
524,20240912,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.75,,,,,,,,,,,,,1000,10,5000,40,10,120,100,30,,,,,,,,,,,,,,,0.76,26.55,0.16,17.66,v0,CH4,131,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,0912_3\GP_PL_20240912_113_113.csv,38084,7200,8600,8.6,34116,0912_3\GP_PL_20240912_113_113.csv,38084,7200,14800,3584,12000,11182,5.604583333,524
2053,20240920,Cs0.05MA0.0475FA0.9025Pb1I2.85Br0.15,1.6,,,,,,,,,,,,,1000,10,5000,40,10,120,110,20,,,,,,,,,,,,,,,11.7,64.01,0.99,18.38,v0,CH1,514,6,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,0913_1\GP_PL_20240913_124_124.csv,11520,8400,8600,8.6,9905,0913_1\GP_PL_20240913_124_124.csv,11520,8400,10200,1079,9600,3017,7.085833333,2053
