differing_column,row1_index,row2_index,condition_case
Concentration PVK,12896,7024,row2
Concentration Additive 1,17156,17509,row2
Concentration Additive 1,17164,17509,row2
Concentration Additive 1,17156,17164,row2
Concentration Additive 1,17156,17494,row2
Concentration Additive 1,17164,17494,row2
Concentration Additive 1,13873,14391,row1
Concentration Additive 1,14359,14391,row1
Concentration Additive 1,14391,14409,row2
Concentration Additive 1,13903,14391,row1
Concentration Additive 1,13903,14409,row2
Concentration Additive 1,15955,18254,row2
Concentration Additive 1,15955,16507,row2
Concentration Additive 1,15955,18243,row2
Concentration Additive 1,18196,18254,row2
Concentration Additive 1,16507,18196,row1
Concentration Additive 1,18196,18243,row2
Concentration Additive 1,18243,18254,row2
Concentration Additive 1,16507,18243,row1
Concentration Additive 1,17718,17740,row1
Concentration Additive 1,17406,17434,row2
Concentration Additive 1,16623,18558,row2
Concentration Additive 1,16623,16650,row2
Concentration Additive 1,16627,18558,row2
Concentration Additive 1,16627,16650,row2
Concentration Additive 1,14736,14750,row2
Concentration Additive 1,14750,15654,row1
Concentration Additive 2,18994,20822,row2
Concentration Additive 2,20822,22814,row1
Concentration Additive 2,19419,24319,row1
Concentration Additive 2,24319,29343,row2
Concentration Additive 2,24319,31481,row2
Concentration Additive 2,29343,31481,row1
