differing_column,row1_index,row2_index
Concentration PVK,12896,7024
Concentration Additive 1,17156,17509
Concentration Additive 1,17164,17509
Concentration Additive 1,17494,17509
Concentration Additive 1,17156,17164
Concentration Additive 1,17156,17494
Concentration Additive 1,17164,17494
Concentration Additive 1,21659,22571
Concentration Additive 1,13873,14391
Concentration Additive 1,14359,14391
Concentration Additive 1,14391,14409
Concentration Additive 1,13903,14391
Concentration Additive 1,13873,14409
Concentration Additive 1,14359,14409
Concentration Additive 1,13873,13903
Concentration Additive 1,13903,14359
Concentration Additive 1,13903,14409
Concentration Additive 1,16761,16991
Concentration Additive 1,15955,18196
Concentration Additive 1,15955,18254
Concentration Additive 1,15955,16507
Concentration Additive 1,15955,18243
Concentration Additive 1,18196,18254
Concentration Additive 1,16507,18196
Concentration Additive 1,18196,18243
Concentration Additive 1,16507,18254
Concentration Additive 1,18243,18254
Concentration Additive 1,16507,18243
Concentration Additive 1,14852,18187
Concentration Additive 1,18187,18199
Concentration Additive 1,14852,18199
Concentration Additive 1,17718,17733
Concentration Additive 1,17718,17740
Concentration Additive 1,17718,17830
Concentration Additive 1,17733,17740
Concentration Additive 1,17733,17830
Concentration Additive 1,17406,17434
Concentration Additive 1,16623,18558
Concentration Additive 1,16623,16627
Concentration Additive 1,16623,16650
Concentration Additive 1,16627,18558
Concentration Additive 1,16650,18558
Concentration Additive 1,16627,16650
Concentration Additive 1,14736,15654
Concentration Additive 1,14736,14750
Concentration Additive 1,14750,15654
Concentration Additive 1,17522,17541
Concentration Additive 2,18994,20822
Concentration Additive 2,20822,22814
Concentration Additive 2,19419,24319
Concentration Additive 2,24319,29343
Concentration Additive 2,24319,30481
Concentration Additive 2,24319,31481
Concentration Additive 2,19419,31481
Concentration Additive 2,29343,31481
Concentration Additive 2,30481,31481
