differing_column,row1_index,row2_index,condition_case
Formula Additive 1,17156,7154,row2
Formula Additive 1,17164,7154,row2
Formula Additive 1,17494,7154,row2
Formula Additive 1,17509,7154,row2
Formula Additive 1,17156,9286,row2
Formula Additive 1,17164,9286,row2
Formula Additive 1,17494,9286,row2
Formula Additive 1,17509,9286,row2
Formula Additive 1,17156,9938,row2
Formula Additive 1,17164,9938,row2
Formula Additive 1,17494,9938,row2
Formula Additive 1,17509,9938,row2
Formula Additive 1,12295,17156,row1
Formula Additive 1,12295,17164,row1
Formula Additive 1,12295,17494,row1
Formula Additive 1,12295,17509,row1
Formula Additive 1,13873,7154,row2
Formula Additive 1,13903,7154,row2
Formula Additive 1,14359,7154,row2
Formula Additive 1,14391,7154,row2
Formula Additive 1,14409,7154,row2
Formula Additive 1,13873,9286,row2
Formula Additive 1,13903,9286,row2
Formula Additive 1,14359,9286,row2
Formula Additive 1,14391,9286,row2
Formula Additive 1,14409,9286,row2
Formula Additive 1,13873,9938,row2
Formula Additive 1,13903,9938,row2
Formula Additive 1,14359,9938,row2
Formula Additive 1,14391,9938,row2
Formula Additive 1,14409,9938,row2
Formula Additive 1,12295,13903,row1
Formula Additive 1,12295,14359,row1
Formula Additive 1,12295,14391,row1
Formula Additive 1,12295,14409,row1
Formula Additive 1,16761,7154,row2
Formula Additive 1,16991,7154,row2
Formula Additive 1,16761,9286,row2
Formula Additive 1,16761,9938,row2
Formula Additive 1,16991,9938,row2
Formula Additive 1,12295,16761,row1
Formula Additive 1,15955,7154,row2
Formula Additive 1,16507,7154,row2
Formula Additive 1,18196,7154,row2
Formula Additive 1,18243,7154,row2
Formula Additive 1,18254,7154,row2
Formula Additive 1,15955,9286,row2
Formula Additive 1,16507,9286,row2
Formula Additive 1,18196,9286,row2
Formula Additive 1,18243,9286,row2
Formula Additive 1,18254,9286,row2
Formula Additive 1,15955,9938,row2
Formula Additive 1,16507,9938,row2
Formula Additive 1,18196,9938,row2
Formula Additive 1,18243,9938,row2
Formula Additive 1,18254,9938,row2
Formula Additive 1,12295,15955,row1
Formula Additive 1,12295,16507,row1
Formula Additive 1,12295,18196,row1
Formula Additive 1,12295,18243,row1
Formula Additive 1,12295,18254,row1
Formula Additive 1,14852,7154,row2
Formula Additive 1,18187,7154,row2
Formula Additive 1,18199,7154,row2
Formula Additive 1,14852,9286,row2
Formula Additive 1,18187,9286,row2
Formula Additive 1,18199,9286,row2
Formula Additive 1,14852,9938,row2
Formula Additive 1,18187,9938,row2
Formula Additive 1,18199,9938,row2
Formula Additive 1,12295,14852,row1
Formula Additive 1,12295,18187,row1
Formula Additive 1,12295,18199,row1
Formula Additive 1,17718,7154,row2
Formula Additive 1,17733,7154,row2
Formula Additive 1,17740,7154,row2
Formula Additive 1,17830,7154,row2
Formula Additive 1,17718,9286,row2
Formula Additive 1,17733,9286,row2
Formula Additive 1,17740,9286,row2
Formula Additive 1,17830,9286,row2
Formula Additive 1,17718,9938,row2
Formula Additive 1,17733,9938,row2
Formula Additive 1,17740,9938,row2
Formula Additive 1,17830,9938,row2
Formula Additive 1,12295,17718,row1
Formula Additive 1,12295,17733,row1
Formula Additive 1,12295,17740,row1
Formula Additive 1,12295,17830,row1
