differing_column,row1_index,row2_index
Concentration Passivator 1,34778,34798
Concentration Passivator 1,33201,34489
Concentration Passivator 1,33201,34495
Concentration Passivator 1,34481,34489
Concentration Passivator 1,34481,34495
Concentration Passivator 1,33201,34018
Concentration Passivator 1,34018,34481
Concentration Passivator 1,33201,34525
Concentration Passivator 1,34481,34525
Concentration Passivator 1,33201,33419
Concentration Passivator 1,33201,33437
Concentration Passivator 1,33419,34481
Concentration Passivator 1,33437,34481
Concentration Passivator 1,34018,34489
Concentration Passivator 1,34018,34495
Concentration Passivator 1,34489,34525
Concentration Passivator 1,34495,34525
Concentration Passivator 1,33419,34489
Concentration Passivator 1,33437,34489
Concentration Passivator 1,33419,34495
Concentration Passivator 1,33437,34495
Concentration Passivator 1,34018,34525
Concentration Passivator 1,33419,34018
Concentration Passivator 1,33437,34018
Concentration Passivator 1,33419,34525
Concentration Passivator 1,33437,34525
Concentration Passivator 1,34971,34984
Concentration Passivator 1,34971,34986
Concentration Passivator 1,34971,34993
Concentration Passivator 1,34971,34998
Concentration Passivator 1,34971,35011
Concentration Passivator 1,34971,35018
Concentration Passivator 1,34971,35030
Concentration Passivator 1,34984,34993
Concentration Passivator 1,34984,34998
Concentration Passivator 1,34986,34993
Concentration Passivator 1,34986,34998
Concentration Passivator 1,34984,35011
Concentration Passivator 1,34984,35018
Concentration Passivator 1,34986,35011
Concentration Passivator 1,34986,35018
Concentration Passivator 1,34984,35030
Concentration Passivator 1,34986,35030
Concentration Passivator 1,34993,35011
Concentration Passivator 1,34993,35018
Concentration Passivator 1,34998,35011
Concentration Passivator 1,34998,35018
Concentration Passivator 1,34993,35030
Concentration Passivator 1,34998,35030
Concentration Passivator 1,35011,35030
Concentration Passivator 1,35018,35030
Concentration Passivator 1,34287,34320
Concentration Passivator 1,34287,34323
Concentration Passivator 1,34296,34320
Concentration Passivator 1,34296,34323
Concentration Passivator 1,34287,34331
Concentration Passivator 1,34287,34335
Concentration Passivator 1,34296,34331
Concentration Passivator 1,34296,34335
Concentration Passivator 1,34320,34331
Concentration Passivator 1,34320,34335
Concentration Passivator 1,34323,34331
Concentration Passivator 1,34323,34335
Concentration Passivator 1,34367,34389
Concentration Passivator 1,34367,34395
Concentration Passivator 1,34370,34389
Concentration Passivator 1,34370,34395
Concentration Passivator 1,34270,34865
Concentration Passivator 1,37906,38890
Concentration Passivator 1,37906,38898
Concentration Passivator 1,37906,39591
Concentration Passivator 1,37906,39674
Concentration Passivator 1,37906,39815
Concentration Passivator 1,37906,40250
Concentration Passivator 1,37906,40298
Concentration Passivator 1,37906,40338
Concentration Passivator 1,37189,38022
Concentration Passivator 1,37189,38032
Concentration Passivator 1,37189,38063
Concentration Passivator 1,38022,38063
Concentration Passivator 1,38032,38063
Concentration Passivator 1,35056,35105
Concentration Passivator 1,33184,33990
Concentration Passivator 1,33187,33990
Concentration Passivator 1,33184,33998
Concentration Passivator 1,33187,33998
Concentration Passivator 1,33061,33990
Concentration Passivator 1,33061,33998
Concentration Passivator 1,33137,33990
Concentration Passivator 1,33145,33990
Concentration Passivator 1,33137,33998
Concentration Passivator 1,33145,33998
Concentration Passivator 1,33061,33184
Concentration Passivator 1,33061,33187
Concentration Passivator 1,33137,33184
Concentration Passivator 1,33145,33184
Concentration Passivator 1,33137,33187
Concentration Passivator 1,33145,33187
Concentration Passivator 1,33061,33137
Concentration Passivator 1,33061,33145
Concentration Passivator 2,37935,37994
Concentration Passivator 2,38022,38047
Concentration Passivator 2,38032,38047
