differing_column,row1_index,row2_index,condition_case
Formula Passivator 1,18871,34778,row1
Formula Passivator 1,18871,34798,row1
Formula Passivator 1,18994,34778,row1
Formula Passivator 1,18994,34798,row1
Formula Passivator 1,20295,34778,row1
Formula Passivator 1,20295,34798,row1
Formula Passivator 1,20651,34778,row1
Formula Passivator 1,20651,34798,row1
Formula Passivator 1,20822,34778,row1
Formula Passivator 1,20822,34798,row1
Formula Passivator 1,21113,34778,row1
Formula Passivator 1,21113,34798,row1
Formula Passivator 1,21639,34778,row1
Formula Passivator 1,21639,34798,row1
Formula Passivator 1,21659,34778,row1
Formula Passivator 1,21659,34798,row1
Formula Passivator 1,21666,34778,row1
Formula Passivator 1,21666,34798,row1
Formula Passivator 1,22383,34778,row1
Formula Passivator 1,22383,34798,row1
Formula Passivator 1,22571,34778,row1
Formula Passivator 1,22571,34798,row1
Formula Passivator 1,22814,34778,row1
Formula Passivator 1,22814,34798,row1
Formula Passivator 1,22826,34778,row1
Formula Passivator 1,22826,34798,row1
Formula Passivator 1,23166,34778,row1
Formula Passivator 1,23166,34798,row1
Formula Passivator 1,25648,34778,row1
Formula Passivator 1,25648,34798,row1
Formula Passivator 1,31293,34778,row1
Formula Passivator 1,31293,34798,row1
Formula Passivator 1,18871,33201,row1
Formula Passivator 1,18871,33419,row1
Formula Passivator 1,18871,33437,row1
Formula Passivator 1,18871,34018,row1
Formula Passivator 1,18871,34481,row1
Formula Passivator 1,18871,34489,row1
Formula Passivator 1,18871,34495,row1
Formula Passivator 1,18871,34525,row1
Formula Passivator 1,18994,33201,row1
Formula Passivator 1,18994,33419,row1
Formula Passivator 1,18994,33437,row1
Formula Passivator 1,18994,34018,row1
Formula Passivator 1,18994,34481,row1
Formula Passivator 1,18994,34489,row1
Formula Passivator 1,18994,34495,row1
Formula Passivator 1,18994,34525,row1
Formula Passivator 1,20295,33201,row1
Formula Passivator 1,20295,33419,row1
Formula Passivator 1,20295,33437,row1
Formula Passivator 1,20295,34018,row1
Formula Passivator 1,20295,34481,row1
Formula Passivator 1,20295,34489,row1
Formula Passivator 1,20295,34495,row1
Formula Passivator 1,20295,34525,row1
Formula Passivator 1,20651,33201,row1
Formula Passivator 1,20651,33419,row1
Formula Passivator 1,20651,33437,row1
Formula Passivator 1,20651,34018,row1
Formula Passivator 1,20651,34481,row1
Formula Passivator 1,20651,34489,row1
Formula Passivator 1,20651,34495,row1
Formula Passivator 1,20651,34525,row1
Formula Passivator 1,20822,33201,row1
Formula Passivator 1,20822,33419,row1
Formula Passivator 1,20822,33437,row1
Formula Passivator 1,20822,34018,row1
Formula Passivator 1,20822,34481,row1
Formula Passivator 1,20822,34489,row1
Formula Passivator 1,20822,34495,row1
Formula Passivator 1,20822,34525,row1
Formula Passivator 1,21113,33201,row1
Formula Passivator 1,21113,33419,row1
Formula Passivator 1,21113,33437,row1
Formula Passivator 1,21113,34018,row1
Formula Passivator 1,21113,34481,row1
Formula Passivator 1,21113,34489,row1
Formula Passivator 1,21113,34495,row1
Formula Passivator 1,21113,34525,row1
Formula Passivator 1,21639,33201,row1
Formula Passivator 1,21639,33419,row1
Formula Passivator 1,21639,33437,row1
Formula Passivator 1,21639,34018,row1
Formula Passivator 1,21639,34481,row1
Formula Passivator 1,21639,34489,row1
Formula Passivator 1,21639,34495,row1
Formula Passivator 1,21639,34525,row1
Formula Passivator 1,21659,33201,row1
