index,date,rank,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,area_px2,gray_mean,pl_spectra_time_pvk_nucleation,PL_slop_30,xrd_intensity_12.6,xrd_fhwm_12.6,xrd_intensity_4,xrd_intensity_4_filename,xrd_Stress,xrd_Stress_filename,xrd_intensity_5.3,xrd_intensity_5.3_filename,No_y
18871,20241213,35,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.73,PEAI,2,PEABr,0.5,,,MeO-4PADBC,0.33,,,,,1000,10,5000,30,6,160,110,25,,,,,,,,,,,,,16.79,66.45,1.08523,23.29,,,,,755.1113203,0.247029369,0,Gonio_4-60_10min_RT-3_20250630-DoubleAdditives_DP_18,22.5, 0714\0714-3-C.csv,,,18871
18994,20241213,35,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.73,PEAI,0.8,MACl,7,,,Me-4PACz,0.33,,,,,1000,10,5000,30,6,160,110,25,,,,,,,,,,,,,19.04,74.91,1.0839,23.45,,,,,185.3787602,0.310730067,0,Gonio_4-60_10min_RT-3_20250701-DoubleAdditives_DP_5,14.4, 0714\0714-19-C.csv,,,18994
19296,20241216,36,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,BSP,2,PEABr,1,,,Me-4PACz,0.33,,,,,1000,10,5000,40,10,160,110,15,,,,,,,,,,,,,17.13,66.22,1.08769,23.79,,,,,481.5578305,0.214584655,0,Gonio_4-60_10min_RT-3_20250630-DoubleAdditives_DP_15,19.8, 0708\20250708-SP\0708-1-C.csv,,,19296
19319,20241216,36,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,BSP,2.5,PEAI,0.5,,,Me-4PACz,0.33,,,,,1000,10,5000,40,10,160,110,15,,,,,,,,,,,,,17.63,68.06,1.0878,23.81,,,,,272.9350041,0.250160892,0,Gonio_4-60_10min_RT-3_20250630-DoubleAdditives_DP_1,16.5, 0707\20250707-NP\0707-8-C.csv,,,19319
19419,20241217,37,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,MACl,14.6,PEAI,0.517,,,Me-4PACz,0.165,MeO-4PADBC,0.165,,,1000,10,5000,40,10,160,110,15,,,,,,,,,,,,,18.81,70.67,1.12033,23.76,,,,,199.5686426,0.274919154,0,Gonio_4-60_10min_RT-3_20250701-DoubleAdditives_DP_10,14.8, 0703\0703-DP\0703-4-C.csv,,,19419
19946,20241218,38,Cs0.1FA0.9Pb1I2.8Br0.2,1.5,BSP,2.3,MACl,7,,,Me-4PACz,0.33,,,,,1200,10,5000,30,8,200,110,30,,,,,,,,,,,,,18.99,73.03,1.09365,23.77,,,,,190.1402808,0.270870889,0,Gonio_4-60_10min_RT-3_20250701-DoubleAdditives_DP_7,14.6, 0708\20250708-SP\0708-4-C.csv,,,19946
19962,20241218,38,Cs0.1FA0.9Pb1I2.8Br0.2,1.5,BSP,2.3,PEAI,1.8,,,Me-4PACz,0.33,,,,,1200,10,5000,30,8,200,110,30,,,,,,,,,,,,,18.12,74.51,1.05741,22.99,,,,,262.5537434,0.301317594,0,Gonio_3-50_15min_RT-3_20250708_6,16, 0714\0714-7-C.csv,,,19962
19986,20241218,38,Cs0.1FA0.9Pb1I2.8Br0.2,1.5,PEAI,0.8,MACl,6,,,Me-4PACz,0.33,,,,,1200,10,5000,30,8,200,110,30,,,,,,,,,,,,,18.8,73.23,1.08571,23.64,,,,,212.0943545,0.273122701,0,Gonio_4-60_10min_RT-3_20250701-DoubleAdditives_DP_17,14.8, 0714\0714-14-C.csv,,,19986
20005,20241218,38,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,BSP,2.2,PEABr,0.6,,,Me-4PACz,0.33,,,,,1000,10,5000,40,10,160,110,15,,,,,,,,,,,,,17.38,68.79,1.09417,23.09,,,,,295.9174141,0.247984216,0,Gonio_4-60_10min_RT-3_20250630-DoubleAdditives_DP_7,17.8, 0714\0714-12-C.csv,,,20005
20295,20241219,39,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.73,MACl,7,PEAI,0.8,,,Me-4PACz,0.2475,MeO-4PADBC,0.0825,,,1000,10,5000,30,6,160,110,25,,,,,,,,,,,,,17.51,73.53,1.06508,22.36,,,,,280.0989155,0.272255203,0,Gonio_4-60_10min_RT-3_20250630-DoubleAdditives_DP_3,16.9, 0714\0714-8-C.csv,,,20295
