index,date,rank,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,area_px2,gray_mean,pl_spectra_time_pvk_nucleation,PL_slop_30,xrd_intensity_12.6,xrd_fhwm_12.6,xrd_intensity_4,xrd_intensity_4_filename,xrd_Stress,xrd_Stress_filename,Unnamed: 51,Unnamed: 52,Unnamed: 53,No_y
238,20240911,1th,MA0.15FA0.85Pb1I3,1.35,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,13.01,69.4,0.98925,18.95,,,,,4143.56421,0.137238059,Gonio_4-60_10min_RT-3_20250623-NoAdditives_5,,,,,,,238
586,20240912,1th,Cs0.05MA0.15FA0.8Pb1I2.95Br0.05,1.4,,,,,,,,,,,,,1000,10,5000,40,10,120,100,20,,,,,,,,,,,,,13.79,67.72,1.026,19.85,,,,,3795.240211,0.143380393,Gonio_4-60_10min_RT-3_20250624-NoAdditives_8,,,,,,,586
3782,20240927,1th,Cs0.05MA0.15FA0.8Pb1I2.7Br0.3,1.7,,,,,,,,,,,,,1000,10,5000,30,10,120,100,20,,,,,,,,,,,,,13.58,71.42,0.98404,19.32,,,,,3976.843245,0.150054175,Gonio_4-60_10min_RT-3_20250625-NoAdditives_12,,,,,,,3782
6588,20241019,2th,Cs0.05MA0.1FA0.85PbI3,1.73,,,,,,,,,,,,,1000,10,5000,30,10,150,110,15,,,,,,,,,,,,,13.267,64.069,1.0429,19.856,,,,,3261.696606,0.15039671,Gonio_4-60_10min_RT-3_20250625-NoAdditives_3,,,,,,,6588
7024,20241024,3th,Cs0.1FA0.9Pb1I2.8Br0.2,1.6,,,,,,,,,,,,,1000,10,5000,40,10,120,110,40,,,,,,,,,,,,,14.54,78.25,0.98315,18.9,,,,,3548.807626,0.132913345,Gonio_4-60_10min_RT-3_20250626-NoAdditives_1,,,,,,,7024
7154,20241024,3th,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.73,,,,,,,,,,,,,1000,10,5000,30,10,120,110,30,,,,,,,,,,,,,14.87,71.24,1.0407,20.06,,,,,3270.437225,0.148830141,Gonio_4-60_10min_RT-3_20250625-NoAdditives_6,,,,,,,7154
7656,20241024,3th,Cs0.15MA0.15FA0.7Pb1I2.85Br0.15,1.3,,,,,,,,,,,,,1000,10,5000,30,10,120,100,5,,,,,,,,,,,,,14.884,69.352,1.0301,20.835,,,,,3644.411695,0.137753143,Gonio_4-60_10min_RT-3_20250624-NoAdditives_1,,,,,,,7656
7671,20241024,3th,Cs0.15MA0.3FA0.55Pb1I2.85Br0.15,1.6,,,,,,,,,,,,,1000,10,5000,30,10,120,100,5,,,,,,,,,,,,,13.228,66.524,1.0352,19.207,,,,,3665.824609,0.153831661,Gonio_4-60_10min_RT-3_20250623-NoAdditives_1,,,,,,,7671
8208,20241119,17,Cs0.15MA0.15FA0.7Pb1I2.85Br0.15,1.3,,,,,,,Me-4PACz,0.33,,,,,1000,10,5000,30,12,160,100,45,,,,,,,,,,,,,15.51,71.31,1.0421,20.87,,,,,2762.979829,0.154777127,Gonio_4-60_10min_RT-3_20250625-NoAdditives_5,,,,,,,8208
8816,20241120,18,Cs0.10MA0.20FA0.70Pb1I2.75Br0.25,1.38,,,,,,,MeO-2PACz,0.33,,,,,950,10,5000,30,8,160,105,20,,,,,,,,,,,,,15.5,74.94,1.0188,20.31,,,,,2839.932692,0.145633227,Gonio_4-60_10min_RT-3_20250623-NoAdditives_8,,,,,,,8816
9286,20241121,19,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.73,,,,,,,MeO-4PACz,0.33,,,,,1000,10,5000,30,6,160,110,25,,,,,,,,,,,,,15.46,71.24,1.0174,21.32,,,,,2611.339731,0.151997318,Gonio_4-60_10min_RT-3_20250625-NoAdditives_8,,,,,,,9286
9938,20241122,20,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.73,,,,,,,2PACz,0.33,,,,,1000,10,5000,30,6,160,110,25,,,,,,,,,,,,,12.72,61.37,0.98229,21.1,,,,,2885.094132,0.153204207,Gonio_4-60_10min_RT-3_20250625-NoAdditives_11,,,,,,,9938
