No,date,rank,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,Product,Channel,From,upload_time
1,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,5.0915,33.952,0.83413,17.978,1,CH1,v0,
2,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,13.115,68.05,1.0159,18.971,1,CH2,v0,
3,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,13.029,68.877,1.0148,18.64,1,CH3,v0,
4,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,13.23,69.04,1.0142,18.894,1,CH4,v0,
5,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,0.054199,576.39,0.002043,4.6026,2,CH1,v0,
6,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,0.0,0.0,0.006113,8.8447,2,CH2,v0,
7,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,0.050514,128.79,0.004899,8.0054,2,CH3,v0,
8,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,0.064575,181.75,0.004378,8.1153,2,CH4,v0,
9,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,11.789,66.714,0.97399,18.142,3,CH1,v0,
10,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,13.056,72.425,0.96593,18.662,3,CH2,v0,
11,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,13.125,73.631,0.96967,18.384,3,CH3,v0,
12,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,13.172,73.535,0.97302,18.41,3,CH4,v0,
13,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,0.13631,31.913,0.030866,13.838,4,CH1,v0,
14,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,0.18405,24.2,0.048423,15.706,4,CH2,v0,
15,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,0.39307,98.376,0.027045,14.774,4,CH3,v0,
16,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,0.086244,20.052,0.02856,15.06,4,CH4,v0,
17,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,1.1359,35.042,0.19079,16.989,5,CH1,v0,
18,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,2.2691,32.174,0.3904,18.065,5,CH2,v0,
19,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,0.4426,24.437,0.1043,17.365,5,CH3,v0,
20,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,0.049253,34.154,0.012175,11.845,5,CH4,v0,
21,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,0.32034,34.546,0.065948,14.061,6,CH1,v0,
22,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,0.26923,91.295,0.023095,12.769,6,CH2,v0,
23,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,0.30379,93.645,0.026128,12.416,6,CH3,v0,
24,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,0.19232,36.179,0.044976,11.819,6,CH4,v0,
25,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,5.0556,35.786,0.78883,17.909,7,CH1,v0,
26,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,6.8365,41.025,0.88697,18.788,7,CH2,v0,
27,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,3.5295,32.449,0.58538,18.581,7,CH3,v0,
28,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,0.70314,26.156,0.15959,16.844,7,CH4,v0,
29,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,1.6092,29.12,0.34261,16.13,8,CH1,v0,
30,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,0.60559,26.99,0.13767,16.298,8,CH2,v0,
31,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,0.56145,26.596,0.14102,14.97,8,CH3,v0,
32,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,0.80842,24.295,0.25359,13.122,8,CH4,v0,
33,20240911,1,Cs0.15FA0.85PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,11.926,66.21,0.98506,18.286,9,CH1,v0,
34,20240911,1,Cs0.15FA0.85PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,3.0095,31.103,0.52976,18.265,9,CH2,v0,
35,20240911,1,Cs0.15FA0.85PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,11.951,66.477,0.98836,18.189,9,CH3,v0,
36,20240911,1,Cs0.15FA0.85PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,12.705,68.452,0.99649,18.626,9,CH4,v0,
37,20240911,1,Cs0.15FA0.85PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,1.3834,24.547,0.30234,18.64,10,CH1,v0,
