No,date,rank,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,Product,Channel,From,upload_time
4,20240911,1,Cs0.1MA0.15FA0.75PbI3.0,1.4,,,,,,,,,,,,,,,,,800,10,4500,30,10,150,100,50,,,,,,,,,,,,,,,13.23,69.04,1.0142,18.894,1,CH4,v0,
64,20240911,1,Cs0.15FA0.85PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,14.509,76.412,0.94148,20.168,16,CH4,v0,
80,20240911,1,Cs0.15MA0.23FA0.62PbI2.98Br0.02,1.42,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,100,30,,,,,,,,,,,,,,,14.37,76.619,1.028,18.244,20,CH4,v0,
142,20240911,1,Cs0.05MA0.1FA0.85PbI3.0,1.6,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,25,,,,,,,,,,,,,,,11.052,68.152,1.013,16.008,36,CH2,v0,
169,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.7,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,20,,,,,,,,,,,,,,,10.514,59.614,0.97704,18.051,43,CH1,v0,
188,20240911,1,Cs0.15FA0.85PbI3.0,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,20,,,,,,,,,,,,,,,14.601,76.329,0.93631,20.431,47,CH4,v0,
238,20240911,1,MA0.15FA0.85PbI3.0,1.35,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,13.01,69.397,0.98925,18.952,60,CH2,v0,
286,20240911,1,Cs0.05MA0.1FA0.85PbI3.0,1.7,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,12.549,67.715,0.92522,20.03,72,CH2,v0,
296,20240911,1,Cs0.05MA0.15FA0.8PbI3.0,1.7,,,,,,,,,,,,,,,,,1000,10,5000,30,10,150,100,30,,,,,,,,,,,,,,,10.024,51.552,0.97695,19.904,74,CH4,v0,
315,20240911,1,Cs0.06MA0.14FA0.8PbI3.0,1.7,,,,,,,,,,,,,,,,,1000,10,4000,30,10,170,100,30,,,,,,,,,,,,,,,12.023,61.913,0.96511,20.12,79,CH3,v0,
329,20240912,2,Cs0.05MA0.16FA0.79PbI2.95Br0.05,1.38,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,20,,,,,,,,,,,,,,,13.985,72.168,1.0286,18.839,83,CH1,v0,
387,20240912,2,Cs0.05MA0.16FA0.79PbI2.9Br0.1,1.38,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,11.316,58.1,0.95177,20.463,97,CH3,v0,
420,20240912,2,Cs0.05MA0.16FA0.79PbI2.9Br0.1,1.73,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,15.324,73.126,1.0474,20.006,105,CH4,v0,
454,20240912,2,Cs0.05MA0.15FA0.8PbI2.9Br0.1,1.8,,,,,,,,,,,,,,,,,1000,10,5000,30,10,150,100,30,,,,,,,,,,,,,,,15.123,69.757,0.99945,21.692,114,CH2,v0,
468,20240912,2,Cs0.15MA0.3FA0.55PbI2.9Br0.1,1.7,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,14.588,69.368,1.0272,20.473,117,CH4,v0,
523,20240912,2,Cs0.05MA0.16FA0.79PbI2.9Br0.1,1.75,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,100,30,,,,,,,,,,,,,,,13.283,70.523,0.96311,19.556,131,CH3,v0,
576,20240912,2,Cs0.15MA0.15FA0.7PbI2.9Br0.1,1.7,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,100,40,,,,,,,,,,,,,,,15.909,83.691,0.95353,19.936,144,CH4,v0,
586,20240912,2,Cs0.05MA0.15FA0.8PbI2.95Br0.05,1.4,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,100,20,,,,,,,,,,,,,,,13.791,67.72,1.026,19.849,147,CH2,v0,
