differing_column,row1_index,row2_index
Spin Coating Speed PVK 1,2604,7331
Spin Coating Speed PVK 1,2604,7336
Spin Coating Speed PVK 1,2604,7344
Spin Coating Speed PVK 1,953,969
Spin Coating Speed PVK 1,961,969
Spin Coating Speed PVK 2,1733,2484
Spin Coating Speed PVK 2,1739,2484
Spin Coating Speed PVK 2,1744,2484
Spin Coating Speed PVK 2,2417,2484
Spin Coating Speed PVK 2,2427,2484
Spin Coating Speed PVK 2,2430,2484
Spin Coating Speed PVK 2,1733,2491
Spin Coating Speed PVK 2,1739,2491
Spin Coating Speed PVK 2,1744,2491
Spin Coating Speed PVK 2,2417,2491
Spin Coating Speed PVK 2,2427,2491
Spin Coating Speed PVK 2,2430,2491
Spin Coating Speed PVK 2,1733,2493
Spin Coating Speed PVK 2,1739,2493
Spin Coating Speed PVK 2,1744,2493
Spin Coating Speed PVK 2,2417,2493
Spin Coating Speed PVK 2,2427,2493
Spin Coating Speed PVK 2,2430,2493
Spin Coating Time PVK 2,1468,1490
Spin Coating Time PVK 2,1468,1509
Spin Coating Time PVK 2,1468,1514
Spin Coating Time PVK 2,210,7590
Spin Coating Time PVK 2,1669,7590
Spin Coating Time PVK 2,2445,7590
Spin Coating Time PVK 2,210,7600
Spin Coating Time PVK 2,1669,7600
Spin Coating Time PVK 2,2445,7600
Spin Coating Time PVK 2,210,7608
Spin Coating Time PVK 2,1669,7608
Spin Coating Time PVK 2,2445,7608
Antisolvent Volume,7590,7616
Antisolvent Volume,7600,7616
Antisolvent Volume,7608,7616
Antisolvent Volume,7590,7622
Antisolvent Volume,7600,7622
Antisolvent Volume,7608,7622
Antisolvent Volume,7590,7632
Antisolvent Volume,7600,7632
Antisolvent Volume,7608,7632
Antisolvent Volume,2604,7356
Antisolvent Volume,2604,7358
Antisolvent Volume,2604,7366
Antisolvent Volume,4608,4640
Antisolvent Volume,4613,4640
Antisolvent Volume,4624,4640
Annealed Temperature PVK,6928,6965
Annealed Temperature PVK,6932,6965
Annealed Temperature PVK,6936,6965
Annealed Temperature PVK,6928,6980
Annealed Temperature PVK,6932,6980
Annealed Temperature PVK,6936,6980
Annealed Temperature PVK,6928,6984
Annealed Temperature PVK,6932,6984
Annealed Temperature PVK,6936,6984
Annealed Time PVK,1490,1603
Annealed Time PVK,1509,1603
Annealed Time PVK,1514,1603
Annealed Time PVK,1490,1605
Annealed Time PVK,1509,1605
Annealed Time PVK,1514,1605
Annealed Time PVK,1490,1611
Annealed Time PVK,1509,1611
Annealed Time PVK,1514,1611
Annealed Time PVK,6784,7298
Annealed Time PVK,6788,7298
Annealed Time PVK,6792,7298
Annealed Time PVK,6784,7318
Annealed Time PVK,6788,7318
Annealed Time PVK,6792,7318
Annealed Time PVK,6948,7496
Annealed Time PVK,6956,7496
Annealed Time PVK,6960,7496
Annealed Time PVK,6948,7501
Annealed Time PVK,6956,7501
Annealed Time PVK,6960,7501
Annealed Time PVK,6948,7509
Annealed Time PVK,6956,7509
Annealed Time PVK,6960,7509
Annealed Time PVK,6965,7230
Annealed Time PVK,6980,7230
Annealed Time PVK,6984,7230
Annealed Time PVK,6965,7240
Annealed Time PVK,6980,7240
Annealed Time PVK,6984,7240
