differing_column,row1_index,row2_index,condition_case
Spin Coating Speed PVK 2,1733,2484,row2
Spin Coating Speed PVK 2,1739,2484,row2
Spin Coating Speed PVK 2,2417,2484,row2
Spin Coating Speed PVK 2,2427,2484,row2
Spin Coating Speed PVK 2,2430,2484,row2
Spin Coating Speed PVK 2,2430,2491,row2
Spin Coating Speed PVK 2,1739,2493,row2
Spin Coating Speed PVK 2,2430,2493,row2
Spin Coating Time PVK 2,210,7590,row1
Spin Coating Time PVK 2,210,7600,row1
Spin Coating Time PVK 2,2445,7600,row1
Spin Coating Time PVK 2,210,7608,row1
Antisolvent Volume,7608,7616,row1
Annealed Temperature PVK,6936,6980,row2
Annealed Time PVK,1509,1611,row1
Annealed Time PVK,1514,1611,row1
Annealed Time PVK,6784,7298,row2
Annealed Time PVK,6788,7298,row2
Annealed Time PVK,6980,7230,row1
Annealed Time PVK,6965,7240,row1
Annealed Time PVK,6980,7240,row1
Annealed Time PVK,6965,7248,row1
Annealed Time PVK,6980,7248,row1
Annealed Time PVK,6890,7465,row1
Annealed Time PVK,6912,7465,row1
Annealed Time PVK,6912,7474,row1
Annealed Time PVK,6890,7482,row1
Annealed Time PVK,6912,7482,row1
Annealed Time PVK,7092,7524,row1
Annealed Time PVK,7098,7524,row1
Annealed Time PVK,7092,7536,row1
Annealed Time PVK,7098,7536,row1
Annealed Time PVK,6760,7637,row1
Annealed Time PVK,6760,7653,row1
Annealed Time PVK,6764,7637,row1
Annealed Time PVK,6764,7653,row1
Annealed Time PVK,6801,7566,row1
Annealed Time PVK,6801,7582,row1
Annealed Time PVK,6801,9999,row1
Annealed Time PVK,6801,9998,row1
