index,date,rank,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,area_px2,mean_RGB,VAR_RGB,gray_mean,gray_contrast,mean_B,mean_G,mean_R,var_B,var_G,var_R,filename,folder_date,date.1,defect_bright,defect_dark,defect_crack,defect_total,closest_color_name,Nucleation Onset Time After Spin Coating,Maximum PL Intensity,Time to Peak PL Intensity After Nucleation,max_column,10%decay_column,10%decay_value,10%slope,20%decay_column,20%decay_value,20%slope,30%decay_column,30%decay_value,30%slope,file_location,xrd_intensity_12.6,xrd_fhwm_12.6,xrd_intensity_4,xrd_fhwm_4,xrd_intensity_4_filename,xrd_Stress,xrd_Stress_filename_x,xrd_intensity_5.3,xrd_fhwm_5.3,xrd_intensity_5.3_filename,Unnamed: 90,Unnamed: 91,xrd_Stress_filename_y
91,20240911,1,Cs0.05MA0.15FA0.8Pb1I2.95Br0.05,1.4,,,,,,,,,,,,,,,,,1000,10,4000,30,10,120,100,30,,,,,,,,,,,,,,,1.2885,26.956,0.33423,14.302,81.3,78.3796,314.9247,80.1626,17.7248,74.1503,81.8552,79.1332,290.6072,317.708,336.459,expID20240911\Image\ԭͼ\13_-212304_.JPEG,20240911,20240911,39,20,1,60,darkslategray,30,56143,31,9000,20000,7696,4.404272727,16600,11136,5.921973684,13800,16599,8.238333333,0911_1\GP_PL_20240911_13_13.csv,,,,,,,,,,,,,
106,20240911,1,Cs0.05MA0.15FA0.8Pb1I2.95Br0.05,1.7,,,,,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,10.453,54.27,0.89716,21.469,97.1,42.017,152.4138,44.0065,11.754,37.4801,45.9174,42.6535,171.8053,135.5848,149.8514,expID20240911\Image\ԭͼ\14_-212319_.JPEG,20240911,20240911,37,0,0,37,darkslategray,30,45088,29.2,7200,20000,16062,2.26765625,20000,16062,2.26765625,20000,16062,2.26765625,0911_1\GP_PL_20240911_14_14.csv,,,,,,,,,,,,,
153,20240911,1,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.7,,,,,,,,,,,,,,,,,900,12,4500,28,12,100,95,25,,,,,,,,,,,,,,,4.3433,50.666,0.78351,10.941,13.3,79.0376,732.7753,82.1697,26.6501,69.4479,83.6839,83.9811,679.3898,718.0031,800.9329,expID20240911\Image\ԭͼ\17_-212403_.JPEG,20240911,20240911,53,14,6,73,darkolivegreen,28,12731,27.4,3400,20000,5970,0.407289157,20000,5970,0.407289157,20000,5970,0.407289157,0911_1\GP_PL_20240911_17_17.csv,,,,,,,,,,,,,
210,20240911,1,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,,,,,,,,,,,,,,,,,1000,10,5000,40,10,200,110,15,,,,,,,,,,,,,,,10.936,54.852,0.96692,20.619,56.3,52.5911,82.7052,54.8001,8.3701,47.0856,56.7621,53.9257,98.0056,65.358,84.7521,expID20240911\Image\ԭͼ\20_-212445_.JPEG,20240911,20240911,11,0,4,15,darkslategray,40,46070,28.4,6400,20000,11786,2.520882353,15600,9162,4.01173913,10600,13734,7.699047619,0911_1\GP_PL_20240911_20_20.csv,,,,,,,,,,,,,
509,20240912,2,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.7,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,100,30,,,,,,,,,,,,,,,3.0507,506.29,0.05065,11.897,61,100.8693,332.7759,102.6335,17.6797,96.0681,103.8941,102.6457,363.1527,312.1656,323.0094,expID20240912\Image\ԭͼ\16_-191512_.JPEG,20240912,20240912,0,7,2,9,dimgray,40,7493,22,0,5800,745,1.163448276,4000,1422,1.51775,3600,2066,1.5075,0912_3\GP_PL_20240912_116_116.csv,,,,,,,,,,,,,
586,20240912,2,Cs0.05MA0.15FA0.8Pb1I2.95Br0.05,1.4,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,100,20,,,,,,,,,,,,,,,13.791,67.72,1.026,19.849,100,44.4162,28.0037,46.2595,4.2693,37.4395,46.2159,49.5932,47.026,19.6283,17.3569,expID20240912\Image\ԭͼ\2_-191141_.JPEG,20240912,20240912,1,0,0,1,darkslategray,40,57209,22,0,18400,5569,2.806521739,3400,11209,13.52941176,2600,16075,15.82076923,0912_3\GP_PL_20240912_102_102.csv,3795.240211,0.143380393,,,,,,,,,,,Gonio_4-60_10min_RT-3_20250624-NoAdditives_8
724,20240912,2,Cs0.15MA0.15FA0.7Pb1I2.9Br0.1,1.7,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,100,20,,,,,,,,,,,,,,,15.768,79.184,1.0016,19.882,85.3,80.0515,300.6655,81.7018,17.0334,76.7184,83.5369,79.8994,301.2365,281.4819,319.2782,expID20240912\Image\ԭͼ\6_-191243_.JPEG,20240912,20240912,49,20,4,73,darkslategray,40,26312,28.2,6200,20000,3122,1.680434783,12800,5210,3.197272727,10800,7847,4.014130435,0912_3\GP_PL_20240912_106_106.csv,,,,,,,,,,,,,
789,20240912,2,Cs0.25MA0.33FA0.42Pb1I2.93Br0.07,1.46,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,100,30,,,,,,,,,,,,,,,1.1247,5547.9,0.003414,5.9378,65.3,88.8557,358.5089,91.3283,18.8296,82.5646,93.2983,90.7042,331.2829,353.3659,390.878,expID20240912\Image\ԭͼ\9_-164206_.JPEG,20240912,20240912,24,13,10,47,dimgray,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,20240912,2,Cs0.25MA0.33FA0.42Pb1I2.93Br0.07,1.46,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,100,30,,,,,,,,,,,,,,,0.38232,24.225,0.099314,15.891,83.1,61.0839,392.6096,62.958,19.5089,56.9101,64.8015,61.5401,423.1257,388.5875,366.1154,expID20240912\Image\ԭͼ\9_-141404_.JPEG,20240912,20240912,26,19,1,46,darkslategray,40,45373,27.2,5200,20000,17242,1.900743243,20000,17242,1.900743243,20000,17242,1.900743243,0912_1\GP_PL_20240912_69_69.csv,,,,,,,,,,,,,
953,20240913,3,Cs0.08MA0.12FA0.8Pb1I3.0,1.6,,,,,,,,,,,,,,,,,1000,15,4500,35,10,100,105,25,,,,,,,,,,,,,,,5.7764,49.955,0.78959,14.645,60.9,92.1086,332.4573,94.2743,17.9296,86.5826,95.9773,93.7658,328.0469,320.5056,348.8193,expID20240913\Image\ԭͼ\15_-191019_.JPEG,20240913,20240913,8,11,8,27,dimgray,40,31201,25.6,3600,20000,3657,1.679512195,10000,6126,3.91796875,8200,8888,4.850652174,0913_3\GP_PL_20240913_175_175.csv,,,,,,,,,,,,,
